PlateNumber,Wavelength,Transmittance
1,500,87.101767884249
1,600,87.99403016872192
1,700,88.74841726458894
2,500,78.36309881868108
2,600,80.06981838200363
2,700,81.7985427727303
3,500,64.65340178840201
3,600,67.06326599565064
3,700,69.60953639736101
4,500,54.388120235391455
4,600,57.490267594816856
4,700,60.25047944850465
5,500,46.402190071777795
5,600,49.88467680557505
5,700,52.90306995135171
